id,condition,area,popping_frame,max_focis,area_focis,first_focis_frame,last_max_focis_frame,first_max_focis_frame,max_focis_duration_frame,max_focis_duration_min,diff_last_max_focis_first_focis_frame,diff_first_max_focis_first_focis_frame,diff_popping_time_first_max_focis_frame,diff_popping_time_last_max_focis_frame,diff_last_max_focis_first_focis_min,diff_first_max_focis_first_focis_min,diff_popping_time_last_max_focis_min,diff_popping_time_first_max_focis_min,bin_prey_area
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-149,WT,5.026694136330622,56,8,0.6283367670413278,18,53,53,0,0,35,35,3,3,280,280,24,24,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-151,WT,3.253277261651788,51,7,0.464753894521684,9,44,44,0,0,35,35,7,7,280,280,56,56,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-19,WT,5.105662751309825,47,8,0.6382078439137281,5,46,46,0,0,41,41,1,1,328,328,8,8,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-25,WT,2.5594771034853334,45,4,0.6398692758713334,25,44,38,6,48,19,13,7,1,152,104,8,56,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-27,WT,4.867180478529184,49,8,0.608397559816148,8,49,44,5,40,41,36,5,0,328,288,0,40,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-29,WT,2.723481938471875,44,4,0.6808704846179687,4,44,34,10,80,40,30,10,0,320,240,0,80,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-30,WT,3.778417232764543,45,5,0.7556834465529085,9,44,43,1,8,35,34,2,1,280,272,8,16,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-55,WT,4.430854864125003,49,8,0.5538568580156253,14,47,47,0,0,33,33,2,2,264,264,16,16,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-64,WT,3.5188732275873837,56,5,0.7037746455174767,26,51,49,2,16,25,23,7,5,200,184,40,56,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-69,WT,3.630288004745236,41,6,0.6050480007908726,13,35,33,2,16,22,20,8,6,176,160,48,64,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-73,WT,3.190613622183762,40,5,0.6381227244367524,4,39,34,5,40,35,30,6,1,280,240,8,48,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-82,WT,2.512724891008437,41,5,0.5025449782016874,11,39,32,7,56,28,21,9,2,224,168,16,72,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-86,WT,2.9610568419244867,39,6,0.4935094736540811,5,39,38,1,8,34,33,1,0,272,264,0,8,"[2.053, 3.64)"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-91,WT,3.7373052584719337,48,6,0.6228842097453223,9,45,45,0,0,36,36,3,3,288,288,24,24,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-94,WT,4.275169648055737,50,6,0.7125282746759561,12,49,40,9,72,37,28,10,1,296,224,8,80,"[3.64, 6.516]"
WT-8-7e22e30f-366e-4bdb-8335-83da6ef200d8-96,WT,5.295641500603709,62,3,1.7652138335345697,13,61,47,14,112,48,34,15,1,384,272,8,120,"[3.64, 6.516]"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-13,WT,2.9792852897072635,39,6,0.4965475482845439,6,38,38,0,0,32,32,1,1,256,256,8,8,"[2.053, 3.64)"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-14,WT,4.116245489172112,47,7,0.5880350698817303,6,45,45,0,0,39,39,2,2,312,312,16,16,"[3.64, 6.516]"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-15,WT,3.675580795494347,55,6,0.6125967992490579,13,54,42,12,96,41,29,13,1,328,232,8,104,"[3.64, 6.516]"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-16,WT,3.770953393695756,50,6,0.628492232282626,7,44,41,3,24,37,34,9,6,296,272,48,72,"[3.64, 6.516]"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-18,WT,2.7322421295987587,35,5,0.5464484259197517,8,35,27,8,64,27,19,8,0,216,152,0,64,"[2.053, 3.64)"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-2,WT,3.7596114726891745,42,6,0.6266019121148624,7,39,33,6,48,32,26,9,3,256,208,24,72,"[3.64, 6.516]"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-21,WT,3.1784400300246167,41,6,0.5297400050041028,8,37,37,0,0,29,29,4,4,232,232,32,32,"[2.053, 3.64)"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-3,WT,3.6373166102819274,53,6,0.6062194350469879,10,52,45,7,56,42,35,8,1,336,280,8,64,"[2.053, 3.64)"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-4,WT,3.706908657229284,42,7,0.5295583796041835,7,40,40,0,0,33,33,2,2,264,264,16,16,"[3.64, 6.516]"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-5,WT,3.122305464044702,30,3,1.0407684880149006,11,30,26,4,32,19,15,4,0,152,120,0,32,"[2.053, 3.64)"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-6,WT,2.3870444434625107,36,5,0.47740888869250214,7,35,33,2,16,28,26,3,1,224,208,8,24,"[2.053, 3.64)"
WT-8-ad9c53b4-4ca7-433b-ac3c-514e7083d6c3-9,WT,3.7188812240334856,56,5,0.7437762448066971,11,47,47,0,0,36,36,9,9,288,288,72,72,"[3.64, 6.516]"
